Current,Voltage,Ah Out,Cumulative Actual Disch Ah,Power,Remaining Capacity,Time to Depletion,type,capacity,charged,prediction
10.69,11.58,0.1781666666666666,7.636666666666667,123.7902,19.363333333333333,6520.860617399439,b2,88.81,27.0,[6678.26365161]
10.68,11.58,0.178,7.814666666666667,123.6744,19.185333333333332,6466.966292134832,b2,88.81,27.0,[6636.44652598]
10.67,11.57,0.1778333333333333,7.9925,123.4519,19.0075,6413.027179006561,b2,88.81,27.0,[6538.01629908]
10.67,11.56,0.1778333333333333,8.170333333333334,123.3452,18.829666666666668,6353.027179006561,b2,88.81,27.0,[6510.79569533]
12.94,11.49,0.2156666666666666,8.386000000000001,148.6806,18.613999999999997,5178.54714064915,b2,88.81,27.0,[5646.03396057]
9.58,11.57,0.1596666666666666,8.545666666666667,110.8406,18.45433333333333,6934.8225469728595,b2,88.81,27.0,[6834.9915369]
9.59,11.57,0.1598333333333333,8.7055,110.9563,18.2945,6867.591240875912,b2,88.81,27.0,[6841.09770874]
9.58,11.56,0.1596666666666666,8.865166666666667,110.7448,18.134833333333333,6814.759916492693,b2,88.81,27.0,[6839.26887486]
8.49,11.59,0.1415,9.006666666666668,98.3991,17.993333333333332,7629.681978798585,b2,88.81,27.0,[7651.09169882]
8.49,11.58,0.1415,9.148166666666668,98.3142,17.85183333333333,7569.681978798585,b2,88.81,27.0,[7560.23286371]
10.32,11.52,0.172,9.320166666666667,118.8864,17.67983333333333,6167.383720930232,b2,88.81,27.0,[6488.74813092]
10.83,11.5,0.1805,9.50066666666667,124.545,17.499333333333333,5816.952908587257,b2,88.81,27.0,[6052.36675387]
7.11,11.6,0.1185,9.619166666666668,82.476,17.38083333333333,8800.421940928269,b2,88.81,27.0,[8960.76589313]
7.12,11.6,0.1186666666666666,9.737833333333334,82.592,17.262166666666666,8728.061797752809,b2,88.81,27.0,[8941.34254671]
9.38,11.53,0.1563333333333333,9.894166666666669,108.1514,17.105833333333333,6565.138592750533,b2,88.81,27.0,[6633.58787316]
9.38,11.52,0.1563333333333333,10.0505,108.0576,16.9495,6505.138592750533,b2,88.81,27.0,[6547.10703426]
9.37,11.51,0.1561666666666666,10.206666666666669,107.8487,16.793333333333333,6452.081109925294,b2,88.81,27.0,[6454.15494921]
11.84,11.43,0.1973333333333333,10.404,135.3312,16.596,5046.081081081081,b2,88.81,27.0,[5400.09662991]
9.82,11.48,0.1636666666666666,10.567666666666666,112.7336,16.432333333333332,6024.0733197556,b2,88.81,27.0,[5958.08342417]
9.81,11.47,0.1635,10.731166666666669,112.5207,16.268833333333333,5970.214067278287,b2,88.81,27.0,[5962.73156522]
9.8,11.46,0.1633333333333333,10.8945,112.30800000000002,16.1055,5916.306122448978,b2,88.81,27.0,[5929.93938814]
9.81,11.46,0.1635,11.058000000000002,112.42260000000002,15.941999999999998,5850.275229357798,b2,88.81,27.0,[5932.73408514]
9.81,11.45,0.1635,11.221500000000002,112.3245,15.778499999999998,5790.275229357797,b2,88.81,27.0,[5966.30385745]
11.39,11.39,0.1898333333333333,11.411333333333337,129.7321,15.588666666666663,4927.058823529412,b2,88.81,27.0,[5072.81247233]
11.39,11.38,0.1898333333333333,11.601166666666668,129.6182,15.398833333333332,4867.058823529411,b2,88.81,27.0,[5035.50369454]
11.38,11.37,0.1896666666666666,11.790833333333335,129.3906,15.209166666666665,4811.335676625658,b2,88.81,27.0,[4922.88387061]
7.69,11.47,0.1281666666666666,11.919000000000002,88.2043,15.080999999999998,7060.026007802339,b2,88.81,27.0,[6868.23933022]
7.68,11.47,0.128,12.047000000000002,88.0896,14.952999999999998,7009.218749999999,b2,88.81,27.0,[6840.39627767]
7.68,11.46,0.128,12.175000000000002,88.0128,14.824999999999998,6949.218749999999,b2,88.81,27.0,[6814.18865417]
7.68,11.46,0.128,12.303000000000004,88.0128,14.696999999999996,6889.218749999999,b2,88.81,27.0,[6809.90478429]
7.68,11.45,0.128,12.431000000000004,87.93599999999999,14.568999999999996,6829.218749999998,b2,88.81,27.0,[6824.34356741]
5.4,11.52,0.09,12.521000000000004,62.208,14.478999999999996,9652.666666666664,b2,88.81,27.0,[9540.01322796]
5.41,11.53,0.0901666666666666,12.61116666666667,62.3773,14.38883333333333,9574.824399260626,b2,88.81,27.0,[9489.92128828]
5.41,11.53,0.0901666666666666,12.701333333333336,62.3773,14.298666666666664,9514.824399260626,b2,88.81,27.0,[9477.87112629]
5.4,11.53,0.09,12.791333333333336,62.262,14.208666666666664,9472.444444444442,b2,88.81,27.0,[9451.03908768]
5.41,11.53,0.0901666666666666,12.881500000000004,62.3773,14.118499999999996,9394.935304990757,b2,88.81,27.0,[9399.43241258]
5.4,11.53,0.09,12.971500000000002,62.262,14.028499999999998,9352.33333333333,b2,88.81,27.0,[9322.40781641]
9.22,11.39,0.1536666666666666,13.125166666666669,105.0158,13.874833333333331,5417.505422993491,b2,88.81,27.0,[5612.52964136]
9.43,11.37,0.1571666666666666,13.282333333333336,107.21909999999998,13.717666666666664,5236.861081654294,b2,88.81,27.0,[5222.31768298]
9.05,11.37,0.1508333333333333,13.433166666666668,102.8985,13.566833333333332,5396.751381215468,b2,88.81,27.0,[5468.20081531]
9.04,11.36,0.1506666666666666,13.583833333333336,102.6944,13.416166666666664,5342.721238938053,b2,88.81,27.0,[5465.85794792]
9.04,11.35,0.1506666666666666,13.7345,102.60399999999998,13.2655,5282.721238938053,b2,88.81,27.0,[5458.28985272]
7.35,11.4,0.1225,13.857,83.78999999999999,13.143,6437.3877551020405,b2,88.81,27.0,[6475.9254294]
7.35,11.4,0.1225,13.979500000000002,83.78999999999999,13.020499999999998,6377.3877551020405,b2,88.81,27.0,[6470.64841118]
7.35,11.39,0.1225,14.102000000000002,83.7165,12.897999999999998,6317.3877551020405,b2,88.81,27.0,[6333.4522557]
9.73,11.3,0.1621666666666666,14.264166666666668,109.949,12.735833333333332,4712.127440904418,b2,88.81,27.0,[4724.86195444]
9.72,11.29,0.162,14.426166666666669,109.7388,12.573833333333331,4656.975308641974,b2,88.81,27.0,[4702.02337109]
9.71,11.27,0.1618333333333333,14.588000000000005,109.4317,12.411999999999995,4601.771369721935,b2,88.81,27.0,[4674.52786202]
12.59,11.16,0.2098333333333333,14.797833333333337,140.5044,12.202166666666663,3489.102462271643,b2,88.81,27.0,[4169.10971753]
14.23,11.08,0.2371666666666666,15.035000000000004,157.66840000000002,11.964999999999996,3026.9852424455366,b2,88.81,27.0,[3119.32229101]
14.21,11.06,0.2368333333333333,15.271833333333335,157.16260000000003,11.728166666666665,2971.2456016889505,b2,88.81,27.0,[3036.78819184]
14.19,11.03,0.2365,15.508333333333336,156.51569999999998,11.491666666666664,2915.433403805496,b2,88.81,27.0,[3006.10767787]
14.18,11.0,0.2363333333333333,15.744666666666667,155.98,11.255333333333333,2857.489421720733,b2,88.81,27.0,[2966.41592081]
11.88,11.05,0.198,15.94266666666667,131.27400000000003,11.05733333333333,3350.7070707070693,b2,88.81,27.0,[3270.82004614]
11.86,11.04,0.1976666666666666,16.140333333333338,130.93439999999998,10.859666666666662,3296.35750421585,b2,88.81,27.0,[3214.53866217]
11.85,11.02,0.1974999999999999,16.33783333333334,130.587,10.66216666666666,3239.1392405063275,b2,88.81,27.0,[3185.95947763]
11.84,11.0,0.1973333333333333,16.535166666666672,130.24,10.464833333333328,3181.874999999998,b2,88.81,27.0,[3167.69127274]
9.53,11.07,0.1588333333333333,16.694000000000006,105.4971,10.305999999999994,3893.137460650575,b2,88.81,27.0,[3775.65872394]
9.52,11.06,0.1586666666666666,16.85266666666667,105.2912,10.147333333333329,3837.2268907563007,b2,88.81,27.0,[3779.67009021]
9.54,11.06,0.1589999999999999,17.01166666666667,105.5124,9.98833333333333,3769.1823899371057,b2,88.81,27.0,[3727.09337904]
9.52,11.05,0.1586666666666666,17.170333333333335,105.196,9.829666666666665,3717.1008403361343,b2,88.81,27.0,[3706.87560852]
9.53,11.04,0.1588333333333333,17.32916666666667,105.2112,9.67083333333333,3653.2004197271767,b2,88.81,27.0,[3668.79104317]
10.19,11.0,0.1698333333333333,17.499000000000002,112.09,9.500999999999998,3356.5848871442586,b2,88.81,27.0,[3377.83788418]
10.18,10.99,0.1696666666666666,17.66866666666667,111.8782,9.33133333333333,3299.8821218074645,b2,88.81,27.0,[3331.95102901]
10.17,10.97,0.1695,17.83816666666667,111.5649,9.16183333333333,3243.126843657816,b2,88.81,27.0,[3254.60849204]
10.16,10.96,0.1693333333333333,18.007500000000004,111.3536,8.992499999999996,3186.3188976377937,b2,88.81,27.0,[3228.00720759]
8.76,11.0,0.146,18.153500000000005,96.36,8.846499999999995,3635.547945205478,b2,88.81,27.0,[3594.31734955]
8.75,11.0,0.1458333333333333,18.299333333333337,96.25,8.700666666666663,3579.7028571428555,b2,88.81,27.0,[3572.88217124]
8.74,10.99,0.1456666666666666,18.445000000000004,96.0526,8.554999999999996,3523.7986270022866,b2,88.81,27.0,[3543.59922787]
8.75,10.98,0.1458333333333333,18.590833333333336,96.075,8.409166666666664,3459.7714285714274,b2,88.81,27.0,[3495.30883841]
8.74,10.97,0.1456666666666666,18.736500000000003,95.8778,8.263499999999997,3403.729977116703,b2,88.81,27.0,[3467.39517962]
3.56,11.16,0.0593333333333333,18.795833333333334,39.7296,8.204166666666662,8296.348314606737,b2,88.81,27.0,[14410.66568508]
7.37,11.02,0.1228333333333333,18.91866666666667,81.2174,8.08133333333333,3947.4626865671626,b2,88.81,27.0,[3900.18309139]
7.37,11.02,0.1228333333333333,19.041500000000003,81.2174,7.958499999999997,3887.462686567163,b2,88.81,27.0,[3881.69051059]
7.37,11.01,0.1228333333333333,19.164333333333335,81.1437,7.835666666666665,3827.462686567163,b2,88.81,27.0,[3838.18137384]
7.36,11.01,0.1226666666666666,19.287000000000003,81.0336,7.712999999999997,3772.663043478259,b2,88.81,27.0,[3787.25606922]
7.36,11.0,0.1226666666666666,19.40966666666667,80.96000000000001,7.59033333333333,3712.663043478259,b2,88.81,27.0,[3761.65948461]
7.36,11.0,0.1226666666666666,19.532333333333337,80.96000000000001,7.467666666666663,3652.6630434782583,b2,88.81,27.0,[3720.69987892]
5.69,11.08,0.0948333333333333,19.62716666666667,63.0452,7.372833333333329,4664.710017574689,b2,88.81,27.0,[4651.29963251]
5.69,11.08,0.0948333333333333,19.722000000000005,63.0452,7.277999999999995,4604.710017574689,b2,88.81,27.0,[4596.25919656]
5.69,11.08,0.0948333333333333,19.81683333333334,63.0452,7.183166666666661,4544.710017574688,b2,88.81,27.0,[4555.22596392]
5.69,11.08,0.0948333333333333,19.911666666666672,63.0452,7.088333333333328,4484.710017574688,b2,88.81,27.0,[4514.50536949]
5.71,11.08,0.0951666666666666,20.00683333333334,63.2668,6.99316666666666,4409.001751313481,b2,88.81,27.0,[4409.9176476]
10.76,10.84,0.1793333333333333,20.186166666666672,116.6384,6.813833333333328,2279.7211895910764,b2,88.81,27.0,[2352.41528718]
8.44,10.9,0.1406666666666666,20.32683333333334,91.996,6.67316666666666,2846.374407582936,b2,88.81,27.0,[2829.87569386]
8.44,10.89,0.1406666666666666,20.46750000000001,91.9116,6.532499999999992,2786.374407582935,b2,88.81,27.0,[2805.83961176]
8.43,10.88,0.1404999999999999,20.608000000000008,91.7184,6.391999999999992,2729.6797153024877,b2,88.81,27.0,[2766.99778195]
8.43,10.87,0.1404999999999999,20.748500000000007,91.6341,6.251499999999993,2669.679715302488,b2,88.81,27.0,[2733.73251764]
6.09,10.98,0.1014999999999999,20.85000000000001,66.8682,6.1499999999999915,3635.467980295562,b2,88.81,27.0,[3601.54195509]
6.09,10.98,0.1014999999999999,20.95150000000001,66.8682,6.04849999999999,3575.46798029556,b2,88.81,27.0,[3564.48490968]
6.09,10.98,0.1014999999999999,21.05300000000001,66.8682,5.9469999999999885,3515.46798029556,b2,88.81,27.0,[3538.83129694]
6.09,10.98,0.1014999999999999,21.154500000000013,66.8682,5.845499999999987,3455.467980295559,b2,88.81,27.0,[3473.12782061]
9.37,10.8,0.1561666666666666,21.31066666666668,101.196,5.68933333333332,2185.8697972251816,b2,88.81,27.0,[2201.21544879]
9.36,10.77,0.156,21.46666666666668,100.8072,5.533333333333321,2128.205128205124,b2,88.81,27.0,[2119.23886856]
9.34,10.75,0.1556666666666666,21.622333333333344,100.405,5.377666666666656,2072.762312633829,b2,88.81,27.0,[2064.20078675]
9.33,10.72,0.1555,21.777833333333344,100.0176,5.222166666666656,2014.9839228295775,b2,88.81,27.0,[2036.96404384]
9.32,10.7,0.1553333333333333,21.93316666666668,99.724,5.066833333333321,1957.1459227467765,b2,88.81,27.0,[2002.94349881]
5.6,10.88,0.0933333333333333,22.026500000000013,60.928,4.973499999999987,3197.2499999999923,b2,88.81,27.0,[3202.33366148]
5.61,10.89,0.0935,22.12000000000001,61.09290000000001,4.879999999999988,3131.5508021390297,b2,88.81,27.0,[3182.52152719]
7.73,10.77,0.1288333333333333,22.248833333333344,83.2521,4.751166666666656,2212.7037516170712,b2,88.81,27.0,[2236.731023]
7.71,10.75,0.1285,22.377333333333343,82.8825,4.622666666666657,2158.4435797665324,b2,88.81,27.0,[2135.62757821]
